[train epoch=0 slice=10 indices=[406, 185, 115, 90, 840, 996, 808, 408, 727, 271, 163, 166, 108, 671, 156, 509, 396, 847, 701, 473]]
fes=50	x=[-3.7259,-1.3103,-1.6247,-0.7438,3.1574,-2.3621,-0.8109,2.9911,-0.6988,-1.3220,-4.3845,0.5682,0.3409,0.8310,-1.3363,-1.4201,-1.9783,0.3099,-0.5546,1.9332]	y=78.3928
fes=600	x=[0.3893,1.4369,-0.4643,0.5953,1.9591,-3.1552,-0.2100,1.6624,-1.6935,0.3635,0.9625,1.1695,0.7732,0.6199,1.5083,0.0732,0.8858,-0.2041,0.9062,2.0275]	y=33.7027
fes=650	x=[0.3893,1.4369,-0.4643,0.5953,1.9591,-3.1552,-0.2100,1.6624,-1.6935,0.3635,0.9625,1.1695,0.7732,0.6199,1.5083,0.0732,0.8858,-0.2041,0.9062,2.0275]	y=33.7027
fes=700	x=[-2.1950,-0.7703,-1.3664,0.5089,1.3795,0.7613,-1.2114,-0.8016,0.2043,-1.7161,-0.9071,0.7476,0.4891,-1.5847,0.8599,0.4021,1.0115,0.4711,0.9142,-0.9172]	y=23.0719
fes=750	x=[-2.1950,-0.7703,-1.3664,0.5089,1.3795,0.7613,-1.2114,-0.8016,0.2043,-1.7161,-0.9071,0.7476,0.4891,-1.5847,0.8599,0.4021,1.0115,0.4711,0.9142,-0.9172]	y=23.0719
fes=800	x=[-2.1950,1.0109,-0.9018,0.5089,1.3795,0.7613,-1.2114,0.9565,0.2043,-1.1778,-0.1882,1.4841,-0.4748,-1.5847,0.8599,0.4021,0.0443,0.8917,0.0402,-0.9172]	y=20.7217
fes=850	x=[1.6324,0.3129,-0.0985,1.0516,0.7226,-1.9160,-1.1660,0.4555,-0.1959,0.4040,0.5953,1.4796,-0.9708,-0.5713,0.2599,-1.5828,0.4238,0.0722,0.8170,0.0490]	y=17.0803
fes=900	x=[1.6324,0.3129,-0.0985,1.0516,0.7226,-1.9160,-1.1660,0.4555,-0.1959,0.4040,0.5953,1.4796,-0.9708,-0.5713,0.2599,-1.5828,0.4238,0.0722,0.8170,0.0490]	y=17.0803
fes=950	x=[1.6324,0.3129,-0.0985,1.0516,0.7226,-1.9160,-1.1660,0.4555,-0.1959,0.4040,0.5953,1.4796,-0.9708,-0.5713,0.2599,-1.5828,0.4238,0.0722,0.8170,0.0490]	y=17.0803
fes=1000	x=[1.6324,0.3129,-0.0985,1.0516,0.7226,-1.9160,-1.1660,0.4555,-0.1959,0.4040,0.5953,1.4796,-0.9708,-0.5713,0.2599,-1.5828,0.4238,0.0722,0.8170,0.0490]	y=17.0803
fes=1050	x=[0.6308,-0.1055,-0.7186,0.1394,0.2889,-1.6096,0.7946,0.3510,-1.1905,-0.6236,0.9459,1.0647,0.7958,-0.5458,0.9102,-0.4781,-0.3323,0.2641,0.6245,1.5276]	y=13.1000
fes=1100	x=[0.6308,-0.1055,-0.7186,0.1394,0.2889,-1.6096,0.7946,0.3510,-1.1905,-0.6236,0.9459,1.0647,0.7958,-0.5458,0.9102,-0.4781,-0.3323,0.2641,0.6245,1.5276]	y=13.1000
fes=1150	x=[1.9246,1.2765,-0.3428,-0.6369,-0.6570,1.3925,-0.2457,-0.3062,-0.1214,0.6525,0.1161,-0.2665,-0.6527,0.1594,-0.4949,0.7835,0.3470,0.9358,-0.3719,-0.5521]	y=11.6557
fes=1200	x=[1.9246,1.2765,-0.3428,-0.6369,-0.6570,1.3925,-0.2457,-0.3062,-0.1214,0.6525,0.1161,-0.2665,-0.6527,0.1594,-0.4949,0.7835,0.3470,0.9358,-0.3719,-0.5521]	y=11.6557
fes=1250	x=[1.0724,0.8574,-0.0641,-1.0422,0.0559,1.3687,-0.4046,0.0061,-0.2420,0.3350,0.1161,-0.3441,-0.6113,-0.5788,-0.0010,0.0427,0.3470,0.4538,-0.2943,-0.7148]	y=6.9529
fes=1300	x=[1.0724,0.8574,-0.0641,-1.0422,0.0559,1.3687,-0.4046,0.0061,-0.2420,0.3350,0.1161,-0.3441,-0.6113,-0.5788,-0.0010,0.0427,0.3470,0.4538,-0.2943,-0.7148]	y=6.9529
fes=1350	x=[0.4405,-0.7093,-0.0295,0.6192,-0.0421,-0.3193,0.3376,-0.5475,-0.4780,0.8168,0.4811,1.1261,0.7805,-0.7138,-0.0078,-0.9530,0.2918,-0.1316,0.5163,-0.5101]	y=6.6501
fes=1400	x=[0.4405,-0.7093,-0.0295,0.6192,-0.0421,-0.3193,0.3376,-0.5475,-0.4780,0.8168,0.4811,1.1261,0.7805,-0.7138,-0.0078,-0.9530,0.2918,-0.1316,0.5163,-0.5101]	y=6.6501
fes=1450	x=[0.7248,0.4729,0.0793,-0.7372,-0.9820,0.7101,0.9720,0.2628,0.1933,0.7019,-0.1679,-0.2836,0.2128,0.3011,0.0913,-1.1979,-0.1053,0.1651,-0.4022,-0.4716]	y=6.4214
fes=1500	x=[0.6690,0.1294,-0.3946,-0.2166,-0.2271,-0.6677,0.8666,0.3152,-0.6286,-0.0854,-0.1679,0.5172,0.5591,-0.2019,0.0913,-1.1979,-0.2401,0.2239,0.2076,-0.4716]	y=4.8827
fes=1550	x=[0.6690,0.1294,-0.3946,-0.2166,-0.2271,-0.6677,0.8666,0.3152,-0.6286,-0.0854,-0.1679,0.5172,0.5591,-0.2019,0.0913,-1.1979,-0.2401,0.2239,0.2076,-0.4716]	y=4.8827
