[train epoch=0 slice=4 indices=[637, 479, 380, 7, 47, 446, 298, 681, 368, 778, 103, 151, 752, 337, 232, 799, 621, 474, 454, 222]]
fes=150	x=[-2.4286,-1.4516,0.4696,-1.2365,-0.8553,3.2591,2.2712,0.7154,-1.1167,1.0337,-0.9892,2.9484,-2.7482,-2.8006,-2.3261,-0.6558,3.1043,-0.5859,-1.0102,1.6364]	y=73.6807
fes=200	x=[-2.4286,-1.4516,0.4696,-1.2365,-0.8553,3.2591,2.2712,0.7154,-1.1167,1.0337,-0.9892,2.9484,-2.7482,-2.8006,-2.3261,-0.6558,3.1043,-0.5859,-1.0102,1.6364]	y=73.6807
fes=250	x=[-2.4286,-1.4516,0.4696,-1.2365,-0.8553,3.2591,2.2712,0.7154,-1.1167,1.0337,-0.9892,2.9484,-2.7482,-2.8006,-2.3261,-0.6558,3.1043,-0.5859,-1.0102,1.6364]	y=73.6807
fes=300	x=[-0.9512,3.1389,0.5393,1.6622,-1.3823,-1.2626,0.1318,0.1075,-1.1878,-0.1702,-0.1400,-0.0071,-0.6440,2.6384,-4.7356,-0.0313,-0.0516,0.9096,-4.8110,-0.5011]	y=72.8336
fes=350	x=[-0.9512,3.1389,0.5393,1.6622,-1.3823,-1.2626,0.1318,0.1075,-1.1878,-0.1702,-0.1400,-0.0071,-0.6440,2.6384,-4.7356,-0.0313,-0.0516,0.9096,-4.8110,-0.5011]	y=72.8336
fes=400	x=[0.8419,-2.7340,-1.7106,-1.0685,-1.6238,0.7881,-1.7810,4.2496,0.9565,0.3148,0.6748,-2.2516,-0.2987,-1.5909,-1.1917,-3.4358,1.6259,1.8623,2.0543,0.8909]	y=70.2500
fes=450	x=[-2.1886,-0.8813,0.4531,-0.6325,-0.0764,0.7255,0.2580,-0.1807,-0.8436,1.3610,0.9163,2.2804,-1.7578,-3.2896,-2.2533,-1.0636,2.2206,0.1304,-2.4342,1.2964]	y=48.0814
fes=500	x=[-0.3991,-0.0243,-0.8841,2.6079,-0.2846,0.2583,-0.4718,-0.5734,-0.9002,-0.2401,0.7457,-3.1985,0.4462,-3.0391,0.8108,-3.2655,-1.0174,0.9594,0.4890,-0.6086]	y=43.4170
fes=550	x=[-0.3991,-0.0243,-0.8841,2.6079,-0.2846,0.2583,-0.4718,-0.5734,-0.9002,-0.2401,0.7457,-3.1985,0.4462,-3.0391,0.8108,-3.2655,-1.0174,0.9594,0.4890,-0.6086]	y=43.4170
fes=600	x=[-0.3991,-0.0243,-0.9890,2.6079,-0.2846,0.1250,-0.1991,-0.6965,-0.9002,-0.2401,0.7457,-2.4583,0.8072,-2.6468,0.8108,-2.1441,-0.3087,0.9221,1.2979,-0.1575]	y=31.5937
fes=650	x=[-0.3991,-0.0243,0.2001,2.6079,-0.2846,0.1250,-0.1991,-0.6965,-0.9002,-0.2401,0.7457,-2.4583,0.8072,-2.6468,0.8108,-2.1441,-0.3087,0.9221,1.2979,-0.1575]	y=30.6557
fes=700	x=[-0.3991,-0.0243,0.2001,2.6079,-0.2846,0.1250,-0.1991,-0.6965,-0.9002,-0.2401,0.7457,-2.4583,0.8072,-2.6468,0.8108,-2.1441,-0.3087,0.9221,1.2979,-0.1575]	y=30.6557
fes=750	x=[-0.3991,-0.0243,0.2001,2.6079,1.0854,0.1250,-0.1991,-0.6965,-0.9002,-0.8486,0.7457,-2.4583,0.8072,-2.6468,0.7814,-0.2693,0.3707,0.9221,-1.2907,-0.2345]	y=27.8977
fes=800	x=[1.1887,-1.0859,1.9941,-0.7840,0.2549,-1.6682,-1.8800,0.4658,0.8268,0.7283,1.9489,-0.5776,-0.4928,-2.5107,-0.4276,-0.0941,0.8974,0.2456,-0.1555,0.2981]	y=26.8456
