[train epoch=0 slice=6 indices=[916, 292, 4, 285, 539, 928, 813, 585, 149, 600, 845, 760, 104, 449, 236, 471, 138, 423, 74, 820]]
fes=50	x=[0.3589,1.6943,3.9673,-2.2179,2.7811,1.1641,-0.8454,4.4640,-1.4074,-2.2124,-2.2810,0.2141,-1.8703,-2.0810,-3.2401,2.3709,3.2160,-2.3251,-1.3359,1.4933]	y=109.2246
fes=1600	x=[-0.0116,0.1538,-0.4331,0.4274,0.5997,-0.7955,-0.1642,0.5133,-0.9434,-0.3686,0.2375,-1.5826,0.7471,0.6876,-0.5312,0.3413,0.6863,-0.5196,0.3181,0.2654]	y=7.6060
fes=1650	x=[-0.3623,0.2119,0.3064,0.5921,0.3138,-0.5849,0.3406,0.4400,0.6664,-0.7742,-0.2324,0.5521,-0.0190,0.5219,-0.1148,0.6302,0.3877,-0.5624,-0.3184,-0.9303]	y=4.8894
fes=1700	x=[-0.3623,0.2119,0.3064,0.5921,0.3138,-0.5849,0.3406,0.4400,0.6664,-0.7742,-0.2324,0.5521,-0.0190,0.5219,-0.1148,0.6302,0.3877,-0.5624,-0.3184,-0.9303]	y=4.8894
fes=1750	x=[-0.3623,0.2119,0.3064,0.5921,0.3138,-0.5849,0.3406,0.4400,0.6664,-0.7742,-0.2324,0.5521,-0.0190,0.5219,-0.1148,0.6302,0.3877,-0.5624,-0.3184,-0.9303]	y=4.8894
fes=1800	x=[-0.3623,0.2119,0.3064,0.5921,0.3138,-0.5849,0.3406,0.4400,0.6664,-0.7742,-0.2324,0.5521,-0.0190,0.5219,-0.1148,0.6302,0.3877,-0.5624,-0.3184,-0.9303]	y=4.8894
fes=1850	x=[-0.4531,-0.1149,-1.1541,-0.2400,0.0330,-0.4176,-0.5515,0.0771,-0.3819,-0.4824,-0.1335,-0.3038,0.6590,0.0060,-0.9591,0.0865,-0.2328,0.0828,0.0098,-0.4850]	y=4.2404
fes=1900	x=[-0.8664,0.8708,-0.6208,0.1136,0.4008,-0.1102,-0.5515,0.6831,-0.3819,0.1378,0.3301,0.0044,-0.3308,-0.4141,-0.7910,-0.2099,-0.0787,0.0828,-0.2697,0.1910]	y=4.1975
fes=1950	x=[-0.3047,-0.0165,-0.0696,0.2376,0.4849,0.1900,0.1028,-0.0054,0.1550,-0.0290,-0.2934,0.2942,-1.0170,-0.1146,-0.0127,0.8582,0.1964,-0.3848,0.0283,-1.2010]	y=4.0479
fes=2000	x=[-0.6801,-0.0069,-0.1792,-0.0695,0.6202,-0.6052,-0.6210,0.4185,-0.0836,-0.0764,-0.2383,0.0527,0.2117,0.2544,-0.3688,-0.3205,-0.3134,-0.1940,-0.6208,-0.3626]	y=2.8845
fes=50	x=[-1.0672,-1.5349,-1.4025,-4.1644,-0.7611,-0.8043,-3.4705,-1.9117,-1.8785,4.5204,-1.6060,3.8482,2.6320,-0.8199,-2.3756,0.2891,-0.2152,0.6922,1.8060,3.1133]	y=107.8857
fes=100	x=[-3.1506,-0.3388,-0.3034,-0.1605,1.5251,4.4715,-0.8204,-4.0933,1.4187,0.9929,-2.5462,0.5118,-3.4362,-2.3588,-1.8127,0.1365,0.4644,1.6171,0.6519,-2.2864]	y=88.8109
fes=150	x=[-1.9490,0.2655,-0.6328,2.6824,0.4591,1.7046,1.6311,-4.0329,-0.5063,2.3842,-1.9926,4.2069,-0.4232,-3.1511,-0.9384,-2.2874,-0.6203,-1.8312,-2.6525,-0.2011]	y=88.1499
fes=200	x=[-2.7004,1.6762,2.5816,-1.3195,-1.0316,-0.7122,-0.5280,3.5348,-0.3381,1.8185,-1.2536,-0.0124,1.0381,1.1108,2.7976,2.6589,1.8188,-0.9222,0.9522,-3.0149]	y=69.2082
